image	r1	r2	r3	r4
decoded_imgs/decoded_17.png	False	False	False	False
decoded_imgs/decoded_16.png	True	False	False	False
decoded_imgs/decoded_14.png	True	False	False	False
decoded_imgs/decoded_28.png	True	False	False	False
decoded_imgs/decoded_15.png	True	False	True	False
decoded_imgs/decoded_0.png	False	False	False	False
decoded_imgs/decoded_60.png	True	False	True	False
decoded_imgs/decoded_61.png	True	False	True	False
decoded_imgs/decoded_1.png	True	False	True	False
decoded_imgs/decoded_3.png	True	False	False	False
decoded_imgs/decoded_63.png	True	False	True	False
decoded_imgs/decoded_62.png	True	False	True	False
decoded_imgs/decoded_89.png	True	False	True	False
decoded_imgs/decoded_101.png	True	False	True	False
decoded_imgs/decoded_2.png	True	False	True	False
decoded_imgs/decoded_66.png	True	False	True	False
decoded_imgs/decoded_65.png	True	False	False	False
decoded_imgs/decoded_9.png	True	False	True	False
decoded_imgs/decoded_69.png	True	False	True	False
decoded_imgs/decoded_43.png	True	False	False	False
decoded_imgs/decoded_84.png	True	False	True	False
decoded_imgs/decoded_90.png	True	False	True	False
decoded_imgs/decoded_47.png	fail	True	False	fail
decoded_imgs/decoded_87.png	True	False	True	False
decoded_imgs/decoded_50.png	True	False	True	False
decoded_imgs/decoded_45.png	True	False	True	False
decoded_imgs/decoded_51.png	True	False	True	False
decoded_imgs/decoded_23.png	True	False	True	False
decoded_imgs/decoded_35.png	True	False	True	False
decoded_imgs/decoded_30.png	True	False	True	False
decoded_imgs/decoded_25.png	True	False	False	False
decoded_imgs/decoded_33.png	True	False	True	False
decoded_imgs/decoded_27.png	fail	True	False	fail
decoded_imgs/decoded_26.png	True	False	False	False
